ability; здатність
hanging around; втикаюсь собі
hazard; небезпека
headquarter; штаб-квартира
highly unlikely; малоймовірно
hire; найняти
horn; ріг
however; проте
hurt; зашкодити
catch it got it; я зрозумів
I nearly; я майже
I respectfully decline; Я з повагою відмовляюся
I screwed up; Я облажався
I am completely on the dark; Я абсолютно не розумію
If I were you; Якби я був на твоєму місці
I'm in; Я за
immediately; негайно
inherit; успадкувати
innocent; невинний
insist; наполягати
instead; замість цього
insult; образа
intent; намір
interaction; взаємодія
interview; інтерв'ю
intricate; заплутаний
inventor; винахідник
investigating; розслідування
it's giving; це класно 
janitor; прибиральник
justice; справедливість
lackluster; безбарвний
landfill; сміттєзвалище
last long; тривати довго
law; закон
leap; стрибок
lessen; зменшувати
literally; буквально
loan; позика
longest-serving; найдовший строк служби
maintainability; ремонтоспособність
maintenance; обслуговування
make me suffer; змусити мене страждати
malformed; деформований 
mammal; ссавець
mention; згадка
messy; безладний
misunderstanding; непорозуміння
mother lode; жолота жила
nap; дрімка
narrow; вузький
nausea; нудота
nephew; племінник
nearby; поруч
not a big deal; без проблем
no guts no glory; без сміливості немає слави
obey; підпорядковуватись
obsessed; одержимий
occur alongside; відбуватися одночасно
once in a blue moon; раз на синьому місяці
opportunity; можливість
opposite; протилежний
optional; необов'язковий
orderly; організований
otherwise; в іншому випадку
outline; контур
outplace; випереджати
outskirts; передмістя
No pain, no gain; без болю немає перемоги
overcome; подолати
particular; особливий
partly; частково
perform; виконувати
performance; виступ
perk; бонус
persuasive; переконливий
pigeon; голуб
pleasant; приємний
plural; множинний
poking; тицяння
polite; ввічливий
pollution; забруднення
pop over; заглянути в гості
precede; передувати
prefer; віддавати перевагу
prerequisite; передумова
properly; належним чином
prosthetic; протез
puddle; калюжа
puppetmaster; керуючий ляльками
purchase; покупка
pursue; переслідувати
rarely; рідко
receipt; квитанція
refreshing; освіжаючий
regret; шкода
relevant; відповідний
remedy; засіб
respond; реагувати
responsibilities; відповідальності
retrieve; відновлювати
robustness; міцність
scorcher; зірвиголова
seldom; рідко
selfish; самовпевнений єгоїстичний
sensitive; чутливий
separate; окремий
several; кілька
shake a leg; рухай булками
shift; зміна
shove; штовхнути
similar; схожий
simultaneously; одночасно
sip; ковток
sneaky; підступний
specifically; конкретно
spill the tea; пліткувати
startled; наляканий
strangle; душити
starving; голодний
suddenly; раптово
suffocation; задушення
suggest; запропонувати
suspended; призупинений
supplies; запаси
suspect; підозрювати
swap; обмінювати
sword; меч
take time off; взяти вихідний
take your time; не поспішай
taking into account; беручи до уваги
tend to lose; має тенденцію втрачати
therefore; отже
thirsty; спраглий
this is lit; це класно
thoroughly; ретельно
thought; думка
tidy; охайний
tip; порада
toes; пальці ніг
towards; до
trailblazer; шляхопрокладач
trait; риса
traitor; зрадник
transition; перехід
tribe; плем'я
trick; трюк
undoubtedly; безперечно
upstairs; нагорі
urgently; негайно
useful; корисний
usually; зазвичай
valuable; цінний
vermin; шкідник
versatile; універсальний
vessel; судно
vicinity; навколишність
villain; злочинець
violation; порушення
waist; талія
warm up; розігріватися
watch out; будьте обережні
weak; слабкий
what's poppin; як справи неформально
whatever; будь-що 
who cares; кому це важливо
wide variety; широкий вибір
win-win; безпрограшний
worn out; вичерпаний
you're one tough cookie; ти справжній борець
you might be wondering; ви можливо дивуєтеся
envelope; оболочка
adhere; притримуватись
strict; строго
mandatorily; в обов'язковому порядку
prevent; запобігання
expose; розкривати обнародувати
evenly; рівномірно
spread; розприділити намазати
procure; придбати
pledge; обіцянка
enhance; покращити
gooey; липкий
puny; мізерний
misery; страждання
resist; протистояти
resilience;	стійкість
feign; прикидатись
circuit breaker; автоматичний вимикач
thief; злодій
mope; сумувати
claim; претенія
harsh; суворий
nodding; кивати
fist; кулак
shortage; дефіцит
surplus; надлишок
gossip; пліткувати
